Electrolyte Lot No,All,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of Count,,Row Labels,Sum of OK Count,Sum of SCRAP Count,,Row Labels,Sum of OLD PCB,Sum of BARCODE MISSING,Sum of DRV BURN,Sum of TRACK DAMAGE,Sum of CHILD CARD,Sum of COMPONENT CHANGE,,Row Labels,Sum of Total Count,,,Row Labels,Sum of OK Count,Sum of SCRAP Count,Total,OK %,Scarp %
NA,1806,,NA,650,1156,,NA,820,0,106,172,0,708,,F1,9249,0.2756780923994039,,SA0011,10131,8639,18770,0.5397442727757059,0.4602557272242941
RF LOT NO 01,216,,RF LOT NO 01,210,6,,RF LOT NO 01,0,0,0,2,0,214,,BD1,8389,0.25004470938897166,,SA0019,7801,4864,12665,0.6159494670351362,0.3840505329648638
RF LOT NO 02,11846,,RF LOT NO 02,6116,5730,,RF LOT NO 02,2626,107,606,830,110,7567,,R100,6464,0.19266766020864382,,SA0021,407,1422,1829,0.22252597047566977,0.7774740295243302
RF LOT NO 03,8996,,RF LOT NO 03,4568,4428,,RF LOT NO 03,1889,0,754,421,205,5727,,DRV,5323,0.1586587183308495,,SA0038,738,997,1735,0.42536023054755046,0.5746397694524495
RF LOT NO 04,7607,,RF LOT NO 04,4386,3221,,RF LOT NO 04,1519,0,480,353,160,5095,,C5,4899,0.14602086438152012,,SA0039,614,1304,1918,0.32012513034410844,0.6798748696558915
RF LOT NO 05,2672,,RF LOT NO 05,1828,844,,RF LOT NO 05,310,0,367,47,0,1948,,RED WIRE,3612,0.1076602086438152,,SA0060,4048,1694,5742,0.7049808429118773,0.2950191570881226
RF LOT NO 06,2608,,RF LOT NO 06,1585,1023,,RF LOT NO 06,766,0,105,56,0,1681,,BLACK WIRE,3300,0.09836065573770492,,SA0061,9702,1390,11092,0.8746844572664983,0.12531554273350162
RF LOT NO 07,1133,,RF LOT NO 07,845,288,,RF LOT NO 07,281,0,0,6,0,846,,FEMALE WIRE,3252,0.09692995529061103,,SA0087,109,488,597,0.18257956448911222,0.8174204355108877
RF LOT NO 27,1,,RF LOT NO 27,0,1,,RF LOT NO 27,1,0,0,0,0,0,,C2,3020,0.09001490312965722,,Grand Total,33550,20798,54348,0.6173180245823213,0.3826819754176787
RF LOT NO 29,5,,RF LOT NO 29,5,0,,RF LOT NO 29,0,0,0,0,0,5,,J2,2549,0.07597615499254844,,,,,,,
RF LOT NO 30,152,,RF LOT NO 30,152,0,,RF LOT NO 30,0,0,0,0,0,152,,D1,2541,0.07573770491803279,,,,,,,
RF LOT NO 32,21,,RF LOT NO 32,21,0,,RF LOT NO 32,0,0,0,0,0,21,,MALE WIRE,2400,0.07153502235469449,,,,,,,
RF LOT NO 33,2,,RF LOT NO 33,2,0,,RF LOT NO 33,0,0,0,0,0,2,,LM358,2390,0.07123695976154992,,,,,,,
RF LOT NO 35,34,,RF LOT NO 35,34,0,,RF LOT NO 35,0,0,0,0,0,34,,R2,2345,0.06989567809239941,,,,,,,
RF LOT NO 38,35,,RF LOT NO 38,25,10,,RF LOT NO 38,3,0,1,1,0,30,,L1,2159,0.06435171385991058,,,,,,,
RF LOT NO 39,12,,RF LOT NO 39,5,7,,RF LOT NO 39,2,0,3,0,0,7,,C4,1958,0.058360655737704915,,,,,,,
RF LOT NO 40,20,,RF LOT NO 40,20,0,,RF LOT NO 40,0,0,0,0,0,20,,MOV,1928,0.05746646795827124,,,,,,,
RF LOT NO 41,18,,RF LOT NO 41,9,9,,RF LOT NO 41,1,0,0,1,0,16,,L2,1732,0.05162444113263785,,,,,,,
RF LOT NO 42,24,,RF LOT NO 42,24,0,,RF LOT NO 42,0,0,0,0,0,24,,D2,1394,0.04154992548435171,,,,,,,
RF LOT NO 43,4,,RF LOT NO 43,2,2,,RF LOT NO 43,0,0,0,0,0,4,,J3,1120,0.03338301043219076,,,,,,,
RF LOT NO 44,11,,RF LOT NO 44,8,3,,RF LOT NO 44,1,0,2,0,0,8,,D6,828,0.0246795827123696,,,,,,,
RF LOT NO 45,22,,RF LOT NO 45,22,0,,RF LOT NO 45,0,0,0,0,0,22,,D3,693,0.020655737704918034,,,,,,,
RF LOT NO 46,11,,RF LOT NO 46,10,1,,RF LOT NO 46,0,0,0,0,0,11,,D4,606,0.01806259314456036,,,,,,,
RF LOT NO 47,35,,RF LOT NO 47,30,5,,RF LOT NO 47,0,0,2,1,0,32,,Q1,589,0.017555886736214606,,,,,,,
RF LOT NO 48,81,,RF LOT NO 48,81,0,,RF LOT NO 48,0,0,0,0,0,81,,T1,433,0.012906110283159463,,,,,,,
RF LOT NO 49,41,,RF LOT NO 49,38,3,,RF LOT NO 49,1,0,1,0,0,39,,C20,379,0.011296572280178838,,,,,,,
RF LOT NO 50,49,,RF LOT NO 50,48,1,,RF LOT NO 50,1,0,0,0,0,48,,D5,370,0.011028315946348734,,,,,,,
RF LOT NO 51,52,,RF LOT NO 51,51,1,,RF LOT NO 51,0,0,1,0,0,51,,C3,225,0.0067064083457526085,,,,,,,
RF LOT NO 52,54,,RF LOT NO 52,52,2,,RF LOT NO 52,0,0,1,0,0,53,,6UF CAP,196,0.005842026825633383,,,,,,,
RF LOT NO 53,239,,RF LOT NO 53,228,11,,RF LOT NO 53,1,0,2,1,0,235,,J4,171,0.0050968703427719825,,,,,,,
RF LOT NO 54,193,,RF LOT NO 54,169,24,,RF LOT NO 54,2,0,3,1,0,187,,R5,145,0.004321907600596126,,,,,,,
RF LOT NO 55,134,,RF LOT NO 55,113,21,,RF LOT NO 55,0,0,6,0,0,128,,C12,137,0.004083457526080477,,,,,,,
RF LOT NO 56,166,,RF LOT NO 56,162,4,,RF LOT NO 56,0,0,0,0,0,166,,D10,82,0.002444113263785395,,,,,,,
RF LOT NO 57,106,,RF LOT NO 57,106,0,,RF LOT NO 57,0,0,0,0,0,106,,L3,63,0.0018777943368107303,,,,,,,
RF LOT NO 58,198,,RF LOT NO 58,191,7,,RF LOT NO 58,0,0,1,1,0,196,,C1,60,0.0017883755588673621,,,,,,,
RF LOT NO 59,76,,RF LOT NO 59,76,0,,RF LOT NO 59,0,0,0,0,0,76,,D13,57,0.001698956780923994,,,,,,,
RF LOT NO 60,201,,RF LOT NO 60,123,78,,RF LOT NO 60,7,0,11,4,0,179,,D11,50,0.0014903129657228018,,,,,,,
RF LOT NO 61,147,,RF LOT NO 61,101,46,,RF LOT NO 61,10,0,3,2,0,132,,R30,38,0.0011326378539493294,,,,,,,
RF LOT NO 62,140,,RF LOT NO 62,107,33,,RF LOT NO 62,1,0,6,2,0,131,,D12,36,0.0010730253353204173,,,,,,,
RF LOT NO 63,90,,RF LOT NO 63,90,0,,RF LOT NO 63,0,0,0,0,0,90,,R1,35,0.0010432190760059613,,,,,,,
RF LOT NO 64,67,,RF LOT NO 64,67,0,,RF LOT NO 64,0,0,0,0,0,67,,U2,32,0.0009538002980625931,,,,,,,
RF LOT NO 66,66,,RF LOT NO 66,66,0,,RF LOT NO 66,0,0,0,0,0,66,,Z1,30,0.0008941877794336811,,,,,,,
RF LOT NO 67,55,,RF LOT NO 67,26,29,,RF LOT NO 67,1,0,0,2,0,52,,C34,26,0.0007749627421758569,,,,,,,
RF LOT NO 68,386,,RF LOT NO 68,153,233,,RF LOT NO 68,125,0,52,9,0,200,,SENSOR,25,0.0007451564828614009,,,,,,,
RF LOT NO 69,56,,RF LOT NO 69,0,56,,RF LOT NO 69,2,0,6,17,0,31,,Q9,25,0.0007451564828614009,,,,,,,
RF LOT NO 70,244,,RF LOT NO 70,124,120,,RF LOT NO 70,17,0,72,5,0,150,,C6,23,0.0006855439642324888,,,,,,,
RF LOT NO 71,233,,RF LOT NO 71,163,70,,RF LOT NO 71,2,0,17,37,0,177,,R3,23,0.0006855439642324888,,,,,,,
RF LOT NO 72,5475,,RF LOT NO 72,4623,852,,RF LOT NO 72,578,56,60,57,0,4724,,D15,18,0.0005365126676602086,,,,,,,
RF LOT NO 73,111,,RF LOT NO 73,50,61,,RF LOT NO 73,8,0,44,7,0,52,,Z4,17,0.0005067064083457526,,,,,,,
RF LOT NO 74,334,,RF LOT NO 74,219,115,,RF LOT NO 74,23,0,14,33,0,264,,D9,16,0.00047690014903129657,,,,,,,
RF LOT NO 75,104,,RF LOT NO 75,37,67,,RF LOT NO 75,2,0,59,3,0,40,,Q8,14,0.0004172876304023845,,,,,,,
RF LOT NO 76,104,,RF LOT NO 76,25,79,,RF LOT NO 76,26,0,1,38,0,39,,C7,9,0.0002682563338301043,,,,,,,
RF LOT NO 77,127,,RF LOT NO 77,31,96,,RF LOT NO 77,52,0,7,3,0,65,,D14,5,0.00014903129657228018,,,,,,,
RF LOT NO 78,229,,RF LOT NO 78,48,181,,RF LOT NO 78,105,0,47,6,0,71,,MALE WIR,4,0.00011922503725782414,,,,,,,
RF LOT NO 79,280,,RF LOT NO 79,80,200,,RF LOT NO 79,116,0,30,37,0,97,,C9,4,0.00011922503725782414,,,,,,,
RF LOT NO 80,144,,RF LOT NO 80,89,55,,RF LOT NO 80,23,0,5,19,0,97,,U3,4,0.00011922503725782414,,,,,,,
RF LOT NO 81,325,,RF LOT NO 81,136,189,,RF LOT NO 81,110,0,29,8,0,178,,NFF,4,0.00011922503725782414,,,,,,,
RF LOT NO 82,1059,,RF LOT NO 82,684,375,,RF LOT NO 82,147,0,48,75,0,789,,C14,3,8.941877794336811e-05,,,,,,,
RF LOT NO 83,866,,RF LOT NO 83,577,289,,RF LOT NO 83,195,0,48,28,0,595,,Q2,3,8.941877794336811e-05,,,,,,,
RF LOT NO 84,300,,RF LOT NO 84,287,13,,RF LOT NO 84,3,0,4,5,0,288,,Q7,3,8.941877794336811e-05,,,,,,,
RF LOT NO 85,627,,RF LOT NO 85,488,139,,RF LOT NO 85,88,0,24,5,0,510,,LED BREAK,2,5.961251862891207e-05,,,,,,,
RF LOT NO 86,3898,,RF LOT NO 86,3284,614,,RF LOT NO 86,305,0,67,45,0,3481,,D8,2,5.961251862891207e-05,,,,,,,
Grand Total,54348,,Grand Total,33550,20798,,Grand Total,10170,163,3095,2340,475,38105,,C27,2,5.961251862891207e-05,,,,,,,
,,,,,,,,,,,,,,,J1,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,C15,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,C23,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,C11,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,C30,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,U1,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,Q3,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,R11,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,C8,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,R31,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,D32,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,R40,1,2.9806259314456036e-05,,,,,,,
,,,,,,,,,,,,,,,Grand Total,75523,,,,,,,,
